# Idx	Met	Resp	Teff	logg	M/H	vturb	a (linear ld)	u1 (quad ld)	u2 (quad ld)    	b1 (three par)	b2 (three par)	b3 (three par)	c1 (non linear)	c2 (non linear)	c3 (non linear)	c4 (non linear)	l1 (logarithm)	l2 (logarithm)  	e1 (exponent)	e2 (exponent)    	s1 (sqrt law)	s2 (sqrt law)	
29	A100	1	3500.0	3.5	0.0	0.0	0.706060569265	0.603312015898	0.137689980606	1.66867647809	-1.62667243141	0.736591900531	0.662153116879	-0.289247761159	0.666832978037	-0.190450496451	0.763455244022	0.1357415428	0.688883423753	-0.00142654245908	0.481328672468	0.322865652806
30	A100	1	3500.0	4.0	0.0	0.0	0.653950803283	0.45223782102	0.270308979599	1.82587956511	-1.71529545696	0.651604805784	0.576514616466	0.121180284713	0.281583146771	-0.155540064972	0.760457086037	0.251893179984	0.628296507267	-0.00213056019704	0.254058620548	0.574513242095
31	A100	1	3500.0	4.5	0.0	0.0	0.618836961901	0.359603875404	0.347389792679	2.00866367845	-1.96497693313	0.70871941303	0.479422385991	0.59105695511	-0.304397517807	0.0375077755007	0.754645273754	0.321194080355	0.587717349827	-0.002584448499	0.112625435589	0.727259090631
32	A100	1	3500.0	5.0	0.0	0.0	0.595875531288	0.304991096913	0.38980473024	2.15739431564	-2.20901046661	0.797464316012	0.422219441453	0.908931297601	-0.746565379124	0.206339222616	0.748226920778	0.360319363153	0.561405187996	-0.00286272292757	0.028577850131	0.815019758088
33	A100	1	3500.0	0.0	0.0	2.0	0.809705801264	0.832282618816	-0.0302544558441	1.75318701918	-2.0208472148	1.11639206433	1.00092521164	-1.20645431389	1.44606599428	-0.284945607789	0.807011239479	-0.00637278589751	0.800540624649	-0.000761157526259	0.792768031099	0.0243339921893
34	A100	1	3500.0	0.5	0.0	2.0	0.803293764359	0.831693005363	-0.0380568953523	1.76320012453	-2.07481178854	1.15319865252	0.978958470675	-1.13148762985	1.31601503215	-0.21738465226	0.797929547023	-0.0126866671896	0.794509799068	-0.000729498358019	0.795405032592	0.011333507028
35	A100	1	3500.0	1.0	0.0	2.0	0.795036593113	0.825997783709	-0.0414900803272	1.76435022365	-2.10304579725	1.17180667034	0.933638976305	-0.996332065417	1.13080750351	-0.135327423644	0.788497749999	-0.0154647213556	0.78652904258	-0.000706542425834	0.791272670147	0.00540751652537
36	A100	1	3500.0	1.5	0.0	2.0	0.786036064095	0.817311727814	-0.0419114954878	1.75531014604	-2.10405231256	1.17276905372	0.873233426117	-0.826758635233	0.920573767809	-0.0497947126267	0.779316347838	-0.0158924962245	0.777766063541	-0.000686814169379	0.783227661533	0.00403474869218
37	A100	1	3500.0	2.0	0.0	2.0	0.777257694217	0.807159681524	-0.0400706765945	1.73671142791	-2.07907867462	1.15750574193	0.805110157403	-0.643923280677	0.709588257746	0.0303174358951	0.771083576374	-0.0146021261529	0.769203904235	-0.000668858126489	0.773133886929	0.0059245516584
38	A100	1	3500.0	2.5	0.0	2.0	0.768893737987	0.794531416584	-0.0343562157633	1.71083074018	-2.02825683882	1.12447624868	0.744115822384	-0.489449479478	0.54914349411	0.0826825939621	0.764592706545	-0.0101721744384	0.760882954431	-0.000665286491555	0.758965703362	0.0142633129776
39	A100	1	3500.0	3.0	0.0	2.0	0.755612051672	0.759598403505	-0.0053419798973	1.66763479687	-1.89175492532	1.02209681192	0.715244903005	-0.447276840475	0.58564495743	0.0207236666376	0.761437650904	0.0137778605903	0.746365036181	-0.000767954152186	0.71124846451	0.0637358502912
40	A100	1	3500.0	3.5	0.0	2.0	0.714769893892	0.627775609272	0.116578199592	1.63467396768	-1.59322709818	0.739727936528	0.707064967884	-0.456050373944	0.855839873396	-0.25019295328	0.764284300119	0.117104277017	0.698862589191	-0.00132108361949	0.51817318365	0.282444664493
41	A100	1	3500.0	4.0	0.0	2.0	0.660969985746	0.470035109442	0.255865591816	1.78361930052	-1.65111110362	0.631551256082	0.620368643112	-0.0507521955202	0.49766506696	-0.236991108611	0.761928328008	0.23877199749	0.636270904825	-0.00205123066641	0.281243540861	0.545541724442
